OPCS_4.9,Description
B14.2,B14.2: Global parathyroidectomy NEC
B14.3,B14.3: Partial parathyroidectomy and transposition of parathyroid tissue
B14.4,B14.4: Partial parathyroidectomy NEC
B14.5,B14.5: Excision of lesion of parathyroid gland
B14.8,B14.8: Other specified excision of parathyroid gland
B14.9,B14.9: Unspecified excision of parathyroid gland
B16.1,B16.1: Modification of transposed parathyroid gland
B16.2,B16.2: Biopsy of lesion of parathyroid gland
B16.3,B16.3: Exploration of parathyroid gland
B16.4,B16.4: Parathyroid washout
B16.8,B16.8: Other specified other operations on parathyroid gland
B16.9,B16.9: Unspecified other operations on parathyroid gland
B17.1,B17.1: Allotransplantation of thymus gland
B17.8,B17.8: Other specified transplantation of thymus gland
B17.9,B17.9: Unspecified transplantation of thymus gland
B18.1,B18.1: Trans-sternal thymectomy
B18.2,B18.2: Transcervical thymectomy
B18.8,B18.8: Other specified excision of thymus gland
B18.9,B18.9: Unspecified excision of thymus gland
B20.1,B20.1: Biopsy of lesion of thymus gland
B20.2,B20.2: Exploration of thymus gland
B20.8,B20.8: Other specified other operations on thymus gland
B20.9,B20.9: Unspecified other operations on thymus gland
B22.1,B22.1: Bilateral adrenalectomy and transposition of adrenal tissue
B22.2,B22.2: Bilateral adrenalectomy NEC
B22.3,B22.3: Unilateral adrenalectomy
B22.4,B22.4: Partial adrenalectomy
B22.8,B22.8: Other specified excision of adrenal gland
B22.9,B22.9: Unspecified excision of adrenal gland
B23.1,B23.1: Excision of lesion of aberrant adrenal tissue
B23.2,B23.2: Exploration of aberrant adrenal tissue
B23.8,B23.8: Other specified operations on aberrant adrenal tissue
B23.9,B23.9: Unspecified operations on aberrant adrenal tissue
B25.1,B25.1: Excision of lesion of adrenal gland
B25.2,B25.2: Biopsy of lesion of adrenal gland NEC
B25.3,B25.3: Embolisation of adrenal gland
B25.4,B25.4: Exploration of adrenal gland
B25.8,B25.8: Other specified other operations on adrenal gland
B25.9,B25.9: Unspecified other operations on adrenal gland
B27.1,B27.1: Total mastectomy and excision of both pectoral muscles and part of chest wall
B27.2,B27.2: Total mastectomy and excision of both pectoral muscles NEC
B27.3,B27.3: Total mastectomy and excision of pectoralis minor muscle
B27.4,B27.4: Total mastectomy NEC
B27.5,B27.5: Subcutaneous mastectomy
B27.6,B27.6: Skin sparing mastectomy
B27.8,B27.8: Other specified total excision of breast
B27.9,B27.9: Unspecified total excision of breast
B28.1,B28.1: Quadrantectomy of breast
B28.2,B28.2: Partial excision of breast NEC
B28.3,B28.3: Excision of lesion of breast NEC
B28.4,B28.4: Re-excision of breast margins
B28.5,B28.5: Wire guided partial excision of breast
B28.6,B28.6: Excision of accessory breast tissue
B28.7,B28.7: Wire guided excision of lesion of breast
B28.8,B28.8: Other specified other excision of breast
B28.9,B28.9: Unspecified other excision of breast
B29.1,B29.1: Reconstruction of breast using myocutaneous flap of latissimus dorsi muscle
B29.2,B29.2: Reconstruction of breast using local flap of skin NEC
B29.3,B29.3: Reconstruction of breast using flap of skin of abdomen NEC
B29.4,B29.4: Reconstruction of breast using distant flap of skin NEC
B29.5,B29.5: Revision of reconstruction of breast
B29.6,B29.6: Reconstruction of breast using glandular remodelling
B29.7,B29.7: Reconstruction of breast using dermoglandular flap
B29.8,B29.8: Other specified reconstruction of breast
B29.9,B29.9: Unspecified reconstruction of breast
B30.1,B30.1: Insertion of prosthesis for breast
B30.2,B30.2: Revision of prosthesis for breast
B30.3,B30.3: Removal of prosthesis for breast
B30.4,B30.4: Renewal of prosthesis for breast
B30.8,B30.8: Other specified prosthesis for breast
B30.9,B30.9: Unspecified prosthesis for breast
B31.1,B31.1: Reduction mammoplasty
B31.2,B31.2: Augmentation mammoplasty
B31.3,B31.3: Mastopexy
B31.4,B31.4: Revision of mammoplasty
B31.8,B31.8: Other specified other plastic operations on breast
B31.9,B31.9: Unspecified other plastic operations on breast
B32.1,B32.1: Percutaneous biopsy of lesion of breast
B32.2,B32.2: Biopsy of lesion of breast NEC
B32.3,B32.3: Wire guided biopsy of lesion of breast
B32.4,B32.4: Vacuum biopsy of lesion of breast
B32.8,B32.8: Other specified biopsy of breast
B32.9,B32.9: Unspecified biopsy of breast
B33.1,B33.1: Drainage of lesion of breast
B33.2,B33.2: Capsulotomy of breast
B33.3,B33.3: Exploration of breast
B33.8,B33.8: Other specified incision of breast
B33.9,B33.9: Unspecified incision of breast
B34.1,B34.1: Subareolar excision of mammary duct
B34.2,B34.2: Excision of mammary duct NEC
B34.3,B34.3: Excision of lesion of mammary duct
B34.4,B34.4: Microdochotomy
B34.5,B34.5: Exploration of mammary duct NEC
B34.8,B34.8: Other specified operations on duct of breast
B34.9,B34.9: Unspecified operations on duct of breast
B35.1,B35.1: Transposition of nipple
B35.2,B35.2: Excision of nipple
B35.3,B35.3: Extirpation of lesion of nipple
B35.4,B35.4: Plastic operations on nipple
B35.5,B35.5: Biopsy of lesion of nipple
B35.6,B35.6: Eversion of nipple
B35.8,B35.8: Other specified operations on nipple
B35.9,B35.9: Unspecified operations on nipple
B36.1,B36.1: Reconstruction of nipple
B36.2,B36.2: Nipple sharing using other tissue
B36.3,B36.3: Nipple sharing NEC
B36.4,B36.4: Tattooing of nipple
B36.8,B36.8: Other specified reconstruction of nipple and areola
B36.9,B36.9: Unspecified reconstruction of nipple and areola
B37.1,B37.1: Aspiration of lesion of breast
B37.2,B37.2: Injection into breast
B37.3,B37.3: Extraction of milk from breast
B37.4,B37.4: Capsulectomy of breast NEC
B37.5,B37.5: Lipofilling of breast
B37.6,B37.6: Partial capsulectomy of breast
B37.8,B37.8: Other specified other operations on breast
B37.9,B37.9: Unspecified other operations on breast
B38.1,B38.1: Reconstruction of breast using free superior gluteal artery perforator flap
B38.2,B38.2: Reconstruction of breast using free inferior gluteal artery perforator flap
B38.8,B38.8: Other specified reconstruction of breast using flap of skin of buttock
B38.9,B38.9: Unspecified reconstruction of breast using flap of skin of buttock
B39.1,B39.1: Reconstruction of breast using free transverse rectus abdominis myocutaneous flap
B39.2,B39.2: Reconstruction of breast using pedicled transverse rectus abdominis myocutaneous flap
B39.3,B39.3: Reconstruction of breast using free deep inferior epigastric perforator flap
B39.4,B39.4: Reconstruction of breast using pedicled omental flap
B39.5,B39.5: Reconstruction of breast using free omental flap
B39.8,B39.8: Other specified reconstruction of breast using abdominal flap
B39.9,B39.9: Unspecified reconstruction of breast using abdominal flap
B40.1,B40.1: Interstitial laser destruction of lesion of breast
B40.8,B40.8: Other specified destruction of lesion of breast
B40.9,B40.9: Unspecified destruction of lesion of breast
B41.1,B41.1: Radionuclide guided excision of lesion of breast
B41.2,B41.2: Radionuclide guided partial excision of breast
B41.8,B41.8: Other specified excision of breast
B41.9,B41.9: Unspecified excision of breast
C01.1,C01.1: Exenteration of orbit
C01.2,C01.2: Enucleation of eye
C01.3,C01.3: Evisceration of eye
C01.8,C01.8: Other specified excision of eye
C01.9,C01.9: Unspecified excision of eye
C02.1,C02.1: Excision of lesion of orbit
C02.2,C02.2: Destruction of lesion of orbit
C02.8,C02.8: Other specified extirpation of lesion of orbit
C02.9,C02.9: Unspecified extirpation of lesion of orbit
C03.1,C03.1: Insertion of prosthetic replacement for orbit
C03.2,C03.2: Insertion of prosthetic replacement for eyeball
C03.8,C03.8: Other specified insertion of prosthesis of eye
C03.9,C03.9: Unspecified insertion of prosthesis of eye
C04.1,C04.1: Revision of prosthetic replacement for orbit
C04.2,C04.2: Revision of prosthetic replacement for eyeball
C04.3,C04.3: Removal of prosthetic replacement for orbit
C04.4,C04.4: Removal of prosthetic replacement for eyeball
C04.8,C04.8: Other specified attention to prosthesis of eye
C04.9,C04.9: Unspecified attention to prosthesis of eye
C05.1,C05.1: Reconstruction of cavity of orbit
C05.2,C05.2: Plastic repair of cavity of orbit
C05.3,C05.3: Enlargement of cavity of orbit
C05.8,C05.8: Other specified plastic repair of orbit
C05.9,C05.9: Unspecified plastic repair of orbit
C06.1,C06.1: Biopsy of lesion of orbit
C06.2,C06.2: Drainage of orbit
C06.3,C06.3: Decompression of orbit
C06.4,C06.4: Removal of foreign body from orbit
C06.5,C06.5: Exploration of orbit
C06.8,C06.8: Other specified incision of orbit
C06.9,C06.9: Unspecified incision of orbit
C08.1,C08.1: Transposition of ligament of orbit
C08.2,C08.2: Open reduction of fracture of orbit
C08.3,C08.3: Removal of fixation from fracture of orbit
C08.4,C08.4: Retrobulbar injection into orbit
C08.5,C08.5: Internal fixation of fracture of orbit
C08.8,C08.8: Other specified other operations on orbit
C08.9,C08.9: Unspecified other operations on orbit
C09.1,C09.1: Replacement of lateral canthal tendon using tarsal strip
C09.2,C09.2: Replacement of lateral canthal tendon using periosteal strip
C09.3,C09.3: Replacement of medial canthal tendon using periosteal strip
C09.8,C09.8: Other specified replacement of canthal tendon
C09.9,C09.9: Unspecified replacement of canthal tendon
C10.1,C10.1: Excision of lesion of eyebrow
C10.2,C10.2: Hair bearing flap to eyebrow
C10.3,C10.3: Hair bearing graft to eyebrow
C10.4,C10.4: Suture of eyebrow
C10.5,C10.5: Incision of lesion of eyebrow
C10.6,C10.6: Biopsy of lesion of eyebrow
C10.8,C10.8: Other specified operations on eyebrow
C10.9,C10.9: Unspecified operations on eyebrow
C11.1,C11.1: Excision of lesion of canthus
C11.2,C11.2: Destruction of lesion of canthus
C11.3,C11.3: Correction of epicanthus
C11.4,C11.4: Correction of telecanthus
C11.5,C11.5: Graft of skin to canthus
C11.6,C11.6: Canthotomy
C11.7,C11.7: Biopsy of lesion of canthus
C11.8,C11.8: Other specified operations on canthus
C11.9,C11.9: Unspecified operations on canthus
C12.1,C12.1: Excision of lesion of eyelid NEC
C12.2,C12.2: Cauterisation of lesion of eyelid
C12.3,C12.3: Cryotherapy to lesion of eyelid
C12.4,C12.4: Curettage of lesion of eyelid
C12.5,C12.5: Destruction of lesion of eyelid NEC
C12.6,C12.6: Wedge excision of lesion of eyelid
C12.8,C12.8: Other specified extirpation of lesion of eyelid
C12.9,C12.9: Unspecified extirpation of lesion of eyelid
C13.1,C13.1: Blepharoplasty of both eyelids
C13.2,C13.2: Blepharoplasty of upper eyelid
C13.3,C13.3: Blepharoplasty of lower eyelid
C13.4,C13.4: Blepharoplasty NEC
C13.8,C13.8: Other specified excision of redundant skin of eyelid
C13.9,C13.9: Unspecified excision of redundant skin of eyelid
C14.1,C14.1: Flap of skin to eyelid
C14.2,C14.2: Graft of skin to eyelid
C14.3,C14.3: Graft of cartilage to eyelid
C14.4,C14.4: Graft of skin and fat to eyelid
C14.5,C14.5: Graft of fascia to eyelid
C14.8,C14.8: Other specified reconstruction of eyelid
C14.9,C14.9: Unspecified reconstruction of eyelid
C15.1,C15.1: Correction of ectropion NEC
C15.2,C15.2: Correction of entropion NEC
C15.3,C15.3: Correction of trichiasis
C15.4,C15.4: Correction of cicatricial ectropion
C15.5,C15.5: Correction of cicatricial entropion
C15.8,C15.8: Other specified correction of deformity of eyelid
C15.9,C15.9: Unspecified correction of deformity of eyelid
C16.1,C16.1: Central tarsorrhaphy
C16.2,C16.2: Lateral tarsorrhaphy
C16.3,C16.3: Medial tarsorrhaphy
C16.4,C16.4: Tarsorrhaphy NEC
C16.5,C16.5: Revision of tarsorrhaphy
C16.8,C16.8: Other specified other plastic repair of eyelid
C16.9,C16.9: Unspecified other plastic repair of eyelid
C17.1,C17.1: Suture of eyelid
C17.2,C17.2: Recession of upper eyelid HFQ
C17.3,C17.3: Recession of lower eyelid HFQ
C17.8,C17.8: Other specified other repair of eyelid
C17.9,C17.9: Unspecified other repair of eyelid
C18.1,C18.1: Correction of ptosis of eyelid using levator muscle technique
C18.2,C18.2: Correction of ptosis of eyelid using frontalis muscle technique
C18.3,C18.3: Correction of ptosis of eyelid using sling of fascia
C18.4,C18.4: Correction of ptosis of eyelid using superior rectus muscle technique
C18.5,C18.5: Tarsomullerectomy
C18.6,C18.6: Correction of ptosis of eyelid using aponeurosis technique
C18.8,C18.8: Other specified correction of ptosis of eyelid
C18.9,C18.9: Unspecified correction of ptosis of eyelid
C19.1,C19.1: Drainage of lesion of eyelid
C19.8,C19.8: Other specified incision of eyelid
C19.9,C19.9: Unspecified incision of eyelid
C20.1,C20.1: Complete protective suture of eyelid
C20.2,C20.2: Central protective suture of eyelid
C20.3,C20.3: Lateral protective suture of eyelid
C20.4,C20.4: Medial protective suture of eyelid
C20.5,C20.5: Removal of protective suture from eyelid
C20.8,C20.8: Other specified protective suture of eyelid
C20.9,C20.9: Unspecified protective suture of eyelid
C22.1,C22.1: Avulsion of nerve of eyelid
C22.2,C22.2: Biopsy of lesion of eyelid
C22.3,C22.3: Removal of foreign body from eyelid
C22.4,C22.4: Injection into eyelid
C22.5,C22.5: Exploration of eyelid
C22.6,C22.6: Epilation of eyelash
C22.7,C22.7: Denervation of nerve of eyelid
C22.8,C22.8: Other specified other operations on eyelid
C22.9,C22.9: Unspecified other operations on eyelid
C23.1,C23.1: Insertion of weight into upper eyelid
C23.2,C23.2: Renewal of weight into upper eyelid
C23.3,C23.3: Removal of weight from upper eyelid
C23.8,C23.8: Other specified operations on eyelid
C23.9,C23.9: Unspecified operations on eyelid
C24.1,C24.1: Excision of lacrimal gland
C24.2,C24.2: Radiotherapy to lacrimal gland
C24.3,C24.3: Destruction of lacrimal gland NEC
C24.4,C24.4: Biopsy of lesion of lacrimal gland
C24.5,C24.5: Incision of lacrimal gland
C24.8,C24.8: Other specified operations on lacrimal gland
C24.9,C24.9: Unspecified operations on lacrimal gland
C25.1,C25.1: Canaliculodacryocystorhinostomy
C25.2,C25.2: Conjunctivodacryocystorhinostomy
C25.3,C25.3: Dacryocystorhinostomy and insertion of tube HFQ
C25.4,C25.4: Dacryocystorhinostomy NEC
C25.5,C25.5: Revision of anastomosis between lacrimal apparatus and nose
C25.8,C25.8: Other specified connection between lacrimal apparatus and nose
C25.9,C25.9: Unspecified connection between lacrimal apparatus and nose
C26.1,C26.1: Excision of lacrimal sac
C26.2,C26.2: Destruction of lesion of lacrimal sac
C26.3,C26.3: Biopsy of lesion of lacrimal sac
C26.4,C26.4: Incision of lacrimal sac
C26.8,C26.8: Other specified other operations on lacrimal sac
C26.9,C26.9: Unspecified other operations on lacrimal sac
C27.1,C27.1: Drainage of nasolacrimal duct
C27.2,C27.2: Dilation of nasolacrimal duct
C27.3,C27.3: Irrigation of nasolacrimal duct
C27.4,C27.4: Removal of tube from nasolacrimal duct
C27.5,C27.5: Probing of nasolacrimal duct NEC
C27.8,C27.8: Other specified operations on nasolacrimal duct
C27.9,C27.9: Unspecified operations on nasolacrimal duct
C29.1,C29.1: Repair of canaliculus
C29.2,C29.2: Enlargement of lacrimal punctum
C29.3,C29.3: Occlusion of lacrimal punctum
C29.4,C29.4: Marsupialisation of canaliculus
C29.5,C29.5: Canaliculotomy
C29.8,C29.8: Other specified other operations on lacrimal apparatus
